,Color,Fabric,Id,Padding,Price,Rating,Style,StyleOutput,Preference,fileImages,linksPages
51,black,nylon and spandex,716,slight pushup,$45 ,4.0,demi,demi,default,TCSeductiveComfort30375Black.jpg,https://trueandco.com/bras/calvin-klein/seductive-comfort/716
52,dune,nylon and spandex,718,slight pushup,$45 ,4.0,demi,demi,default,NUDEDONE.jpg,https://trueandco.com/bras/calvin-klein/seductive-comfort/718
53,nude,nylon and spandex,519,lightly lined cup,$52 ,4.0,full coverage,full,default,TCPurePlus30336Nude.jpg,https://trueandco.com/bras/montelle/pure-plus/519
54,cocoa,nylon and spandex,1451,lightly lined cup,$68 ,5.0,full coverage bra,full,default,Natori_HiddenGlamour_DemiBra_Cocoa.jpg,https://trueandco.com/bras/natori/hidden-glamour/1451
55,black,nylon and lycra,714,lightly lined cup,$45 ,4.0,wireless demi,default,wirefree,CK_Perfectly_Fit__F2781_Black.jpg,https://trueandco.com/bras/calvin-klein/perfectly-fit-wirefree/714
56,black,"nylon, polyester, and spandex",529,lightly lined cup,$45 ,4.0,demi bra,demi,default,TCFeelGood30530Black.jpg,https://trueandco.com/bras/leilieve/feel-good/529
57,gun metal,nylon and spandex,445,lightly lined cup,$68 ,5.0,full coverage,full,default,Natori736044GunmetalBraCOMPLETE.jpg,https://trueandco.com/bras/natori/hidden-glamour/445
58,black,nylon and spandex,50,lightly lined cup,$64 ,5.0,demi bra,demi,default,recolor_to_blackDONE.jpg,https://trueandco.com/bras/natori/sheer-jacquard/50
59,black,"polyester, nylon, polyurethane, and spandex",1660,unlined cup,$69 ,5.0,encapsulation sports bra,full,sports,AnitaExtremeComfortSportsBraBlackFront.jpg,https://trueandco.com/bras/anita/extreme-control/1660
60,dune,nylon and lycra,715,lightly lined cup,$45 ,4.0,wireless demi,default,wirefree,CK_Perfectly_Fit__F2781_Nude.jpg,https://trueandco.com/bras/calvin-klein/perfectly-fit-wirefree/715
61,black,"polyester, spandex",3143,lightly lined cup,$56 ,4.0,"lined, contour demi",demi,default,Wacoal_HaloContourSpacer_Bra_Black.jpg,https://trueandco.com/bras/wacoal/halo-contour-spacer/3143
62,naturally nude,"nylon, spandex, polyester",3148,lightly lined cup,$60 ,4.0,multiway,default,mutiway,Wacoal_RedCarpetStrapless_Bra_Nude_nostraps.jpg,https://trueandco.com/bras/wacoal-america/red-carpet-strapless/3148
63,nude,nylon and spandex,446,lightly lined cup,$68 ,5.0,full coverage,full,default,Natori736044CafeCOMPLETE.jpg,https://trueandco.com/bras/natori/hidden-glamour/446
